iter	RMSE
0	16.4483988
1	16.01988611
2	15.63135413
3	15.28002433
4	14.94355883
5	14.56064276
6	14.20632196
7	13.88173129
8	13.56074429
9	13.24412923
10	12.95245264
11	12.69208636
12	12.3832785
13	12.13651049
14	11.91686737
15	11.69702737
16	11.46554079
17	11.26424864
18	11.05844385
19	10.82708221
20	10.61470405
21	10.40018319
22	10.18968604
23	10.01172631
24	9.816074926
25	9.630514118
26	9.471858694
27	9.31966889
28	9.149878941
29	9.001886776
30	8.854388359
31	8.716457056
32	8.575698083
33	8.443371739
34	8.318946407
35	8.198380066
36	8.089841761
37	7.986490694
38	7.89426308
39	7.792606306
40	7.694722211
41	7.598955723
42	7.513386764
43	7.435447615
44	7.344390332
45	7.25916569
46	7.182438658
47	7.095832863
48	7.027078292
49	6.950162152
50	6.884914206
51	6.804512393
52	6.741779563
53	6.67944823
54	6.610012602
55	6.561883902
56	6.505242177
57	6.451259788
58	6.39000958
59	6.327406402
60	6.270391579
61	6.225123372
62	6.180763124
63	6.129561252
64	6.079175478
65	6.039264075
66	5.991883406
67	5.95413401
68	5.919783622
69	5.879786066
70	5.835100566
71	5.799986274
72	5.767501581
73	5.728795423
74	5.681753287
75	5.645609831
76	5.610058956
77	5.573898035
78	5.546747287
79	5.523971411
80	5.499374466
81	5.472535072
82	5.445509055
83	5.406553933
84	5.377578092
85	5.349244339
86	5.322658119
87	5.294030883
88	5.268284231
89	5.248491077
90	5.224406846
91	5.193676617
92	5.174179411
93	5.15182766
94	5.126163153
95	5.104212942
96	5.083062714
97	5.065212891
98	5.048655976
99	5.031958971
100	5.01758128
101	4.994894751
102	4.982933841
103	4.960411577
104	4.947784568
105	4.928079007
106	4.909996651
107	4.89294492
108	4.878452019
109	4.860772951
110	4.842519801
111	4.826474162
112	4.812372482
113	4.793915608
114	4.778989458
115	4.76567455
116	4.751058236
117	4.73668313
118	4.721142916
119	4.7043697
120	4.685845508
121	4.671477149
122	4.659043785
123	4.644838527
124	4.633822381
125	4.619253307
126	4.607515238
127	4.596336691
128	4.580132508
129	4.567489175
130	4.555408804
131	4.544438225
132	4.53475597
133	4.524543593
134	4.508809644
135	4.497802532
136	4.483778278
137	4.477249634
138	4.471047415
139	4.462604201
140	4.450806209
141	4.433661433
142	4.419309883
143	4.411912806
144	4.400374798
145	4.38461108
146	4.377492207
147	4.365645554
148	4.363172126
149	4.352474008
150	4.343930094
151	4.333490739
152	4.321827697
153	4.311887197
154	4.30484571
155	4.297144078
156	4.290598157
157	4.279134745
158	4.267864637
159	4.256125301
160	4.242568946
161	4.231704407
162	4.221869012
163	4.212819629
164	4.199669295
165	4.193838171
166	4.186066286
167	4.179920854
168	4.171909372
169	4.164213586
170	4.156071925
171	4.145319506
172	4.134035313
173	4.126101161
174	4.115085705
175	4.106395463
176	4.098829229
177	4.092208108
178	4.080268498
179	4.074054356
180	4.06725742
181	4.058150135
182	4.047355184
183	4.036366021
184	4.026473055
185	4.022273424
186	4.017977465
187	4.015792328
188	4.010037811
189	4.00284895
190	3.992692269
191	3.988795081
192	3.979674083
193	3.976478004
194	3.972389692
195	3.9659261
196	3.960049888
197	3.957682843
198	3.953514749
199	3.94734494
200	3.940319793
201	3.93478903
202	3.924663748
203	3.919757731
204	3.912430001
205	3.909093288
206	3.902164165
207	3.895302857
208	3.888781568
209	3.881739947
210	3.872621865
211	3.856909842
212	3.8531656
213	3.841882825
214	3.835540442
215	3.830563542
216	3.819497296
217	3.809062134
218	3.801890604
219	3.794586564
220	3.784856644
221	3.777077833
222	3.772832542
223	3.767962
224	3.759817733
225	3.754790254
226	3.750466981
227	3.74213164
228	3.738162128
229	3.727461694
230	3.717676579
231	3.714454265
232	3.70426123
233	3.695848162
234	3.694698699
235	3.687119911
236	3.681301434
237	3.679893224
238	3.67696438
239	3.667683685
240	3.660506048
241	3.647853125
242	3.645416639
243	3.640139784
244	3.632258967
245	3.626464094
246	3.616542781
247	3.611662188
248	3.602810713
249	3.595188539
250	3.593727556
251	3.59251517
252	3.587102444
253	3.578589341
254	3.569786728
255	3.561680305
256	3.556836509
257	3.547337776
258	3.546304432
259	3.539898411
260	3.530674142
261	3.525192611
262	3.519583534
263	3.515216116
264	3.506867247
265	3.505993199
266	3.49878668
267	3.493331906
268	3.487811797
269	3.479236227
270	3.47766328
271	3.473750035
272	3.466351134
273	3.458787599
274	3.451838033
275	3.444792579
276	3.443506052
277	3.442783873
278	3.435901738
279	3.427590836
280	3.421190376
281	3.414209119
282	3.409144599
283	3.404237587
284	3.403037733
285	3.395254179
286	3.394537115
287	3.388069145
288	3.383168599
289	3.378859219
290	3.370604081
291	3.365986484
292	3.361258012
293	3.357104287
294	3.355992815
295	3.349039366
296	3.347982023
297	3.33938594
298	3.3332633
299	3.326098182
300	3.319201421
301	3.311864676
302	3.307095159
303	3.300423262
304	3.294041914
305	3.289135516
306	3.288112606
307	3.287144291
308	3.283006398
309	3.275899051
310	3.274976033
311	3.271405529
312	3.268287823
313	3.263070333
314	3.257996955
315	3.253730818
316	3.248521385
317	3.242418033
318	3.23692772
319	3.236383037
320	3.229110593
321	3.225473601
322	3.224480143
323	3.223964845
324	3.219347775
325	3.209750389
326	3.200669607
327	3.196988606
328	3.190566752
329	3.182923757
330	3.178025638
331	3.173112
332	3.169431186
333	3.164011171
334	3.159790921
335	3.156995126
336	3.156093735
337	3.15173436
338	3.148682907
339	3.144392927
340	3.139950022
341	3.136238765
342	3.13483515
343	3.130004593
344	3.126082702
345	3.118949205
346	3.117341615
347	3.116044894
348	3.112378978
349	3.109184501
350	3.103227127
351	3.095105516
352	3.093509533
353	3.089189937
354	3.082445357
355	3.078096199
356	3.071811596
357	3.066011539
358	3.063526313
359	3.059250009
360	3.054740971
361	3.054116149
362	3.05149711
363	3.048168568
364	3.042676041
365	3.037267977
366	3.032889226
367	3.029146906
368	3.027384207
369	3.022764916
370	3.016428267
371	3.01062967
372	3.004840464
373	3.001689526
374	2.996114293
375	2.991329892
376	2.987446765
377	2.983026099
378	2.977410966
379	2.970909495
380	2.970352401
381	2.965152911
382	2.960897769
383	2.956073049
384	2.950615443
385	2.947887081
386	2.944376637
387	2.939613859
388	2.93900888
389	2.936033829
390	2.930709652
391	2.92661753
392	2.926033657
393	2.925308807
394	2.919825823
395	2.916752915
396	2.91367234
397	2.912984521
398	2.908208552
399	2.905297898
400	2.900326152
401	2.897553492
402	2.894103544
403	2.889524234
404	2.886285566
405	2.881755492
406	2.877962011
407	2.875396484
408	2.873241702
409	2.870317019
410	2.866215421
411	2.865481697
412	2.861786918
413	2.856935602
414	2.854356761
415	2.850539811
416	2.845904782
417	2.841573209
418	2.839555502
419	2.836833037
420	2.832358855
421	2.829552242
422	2.82764813
423	2.823607758
424	2.823292602
425	2.822661191
426	2.818347622
427	2.813080758
428	2.80876512
429	2.808488403
430	2.804529337
431	2.80102788
432	2.798381976
433	2.795239778
434	2.792380382
435	2.786574233
436	2.779099456
437	2.778781823
438	2.775196879
439	2.771508597
440	2.766430465
441	2.763838971
442	2.761718143
443	2.758680255
444	2.758265206
445	2.754363901
446	2.7540426
447	2.751352223
448	2.750963996
449	2.747587941
450	2.746333659
451	2.741719384
452	2.738834514
453	2.735056755
454	2.731401781
455	2.726650302
456	2.726420863
457	2.722922086
458	2.720725323
459	2.718220807
460	2.715241765
461	2.711698665
462	2.708019009
463	2.703200868
464	2.699975861
465	2.696386385
466	2.696173955
467	2.694184724
468	2.691328986
469	2.687262674
470	2.684251005
471	2.681135134
472	2.677470341
473	2.673408922
474	2.669584029
475	2.666395709
476	2.663515371
477	2.660353885
478	2.659145153
479	2.657003405
