iter	Passed	Remaining
0	1	1939
1	3	1641
2	4	1531
3	5	1484
4	7	1483
5	8	1486
6	10	1461
7	11	1443
8	13	1461
9	14	1463
10	16	1461
11	17	1449
12	19	1444
13	20	1436
14	22	1452
15	23	1442
16	25	1454
17	26	1451
18	28	1457
19	29	1461
20	31	1449
21	32	1439
22	33	1433
23	35	1427
24	37	1448
25	38	1446
26	40	1445
27	41	1440
28	42	1433
29	44	1431
30	45	1436
31	47	1433
32	48	1428
33	50	1437
34	52	1433
35	53	1433
36	54	1431
37	56	1435
38	58	1431
39	59	1430
40	60	1426
41	62	1424
42	63	1420
43	65	1421
44	67	1421
45	68	1420
46	70	1421
47	71	1425
48	73	1420
49	74	1415
50	75	1410
51	77	1405
52	78	1404
53	80	1402
54	81	1400
55	83	1401
56	84	1401
57	86	1400
58	87	1401
59	89	1400
60	91	1402
61	92	1397
62	94	1405
63	95	1402
64	97	1399
65	98	1397
66	100	1394
67	101	1391
68	103	1392
69	104	1391
70	106	1387
71	107	1388
72	109	1385
73	110	1385
74	112	1382
75	113	1379
76	115	1379
77	116	1376
78	117	1372
79	119	1370
80	120	1368
81	122	1375
82	124	1372
83	125	1370
84	126	1366
85	128	1365
86	129	1362
87	131	1359
88	132	1356
89	133	1353
90	135	1352
91	136	1349
92	138	1346
93	139	1343
94	140	1339
95	141	1335
96	143	1331
97	144	1328
98	145	1325
99	146	1321
100	148	1318
101	149	1314
102	151	1315
103	152	1312
104	153	1310
105	155	1308
106	156	1306
107	157	1304
108	160	1310
109	163	1325
110	166	1334
111	168	1338
112	170	1339
113	172	1342
114	175	1352
115	180	1376
116	183	1383
117	185	1386
118	187	1388
119	189	1389
120	191	1390
121	193	1391
122	195	1395
123	198	1402
124	201	1410
125	204	1420
126	209	1438
127	213	1455
128	218	1473
129	221	1479
130	225	1494
131	227	1498
132	230	1500
133	233	1506
134	235	1510
135	238	1515
136	240	1516
137	242	1513
138	244	1513
139	246	1512
140	248	1513
141	251	1520
142	253	1521
143	255	1520
144	257	1519
145	259	1517
146	261	1515
147	263	1515
148	266	1521
149	268	1520
150	270	1521
151	272	1521
152	275	1523
153	277	1524
154	280	1528
155	282	1530
156	285	1532
157	289	1541
158	292	1547
159	295	1550
160	298	1553
161	300	1556
162	303	1557
163	306	1564
164	309	1568
165	311	1566
166	313	1563
167	315	1561
168	317	1559
169	318	1557
170	320	1554
171	322	1551
172	324	1550
173	326	1550
174	328	1547
175	329	1544
176	331	1541
177	333	1537
178	334	1533
179	336	1531
180	337	1527
181	339	1525
182	340	1521
183	342	1519
184	344	1516
185	345	1513
186	347	1511
187	348	1506
188	350	1502
189	351	1499
190	353	1497
191	355	1495
192	357	1493
193	358	1490
194	360	1487
195	361	1483
196	363	1479
197	364	1477
198	366	1473
199	367	1471
200	369	1467
201	370	1463
202	372	1460
203	373	1458
204	375	1454
205	376	1451
206	378	1449
207	379	1446
208	381	1443
209	382	1440
210	384	1437
211	385	1434
212	387	1430
213	388	1428
214	390	1424
215	391	1422
216	393	1418
217	395	1417
218	397	1416
219	398	1412
220	399	1409
221	401	1406
222	402	1404
223	404	1401
224	406	1399
225	408	1397
226	409	1395
227	411	1392
228	413	1390
229	414	1387
230	415	1384
231	416	1380
232	418	1376
233	420	1374
234	421	1371
235	422	1367
236	423	1364
237	426	1363
238	427	1360
239	428	1357
240	429	1353
241	431	1350
242	432	1346
243	433	1343
244	434	1339
245	435	1336
246	437	1333
247	438	1329
248	439	1326
249	441	1323
250	442	1319
251	443	1316
252	444	1313
253	446	1309
254	447	1306
255	448	1303
256	449	1300
257	450	1296
258	452	1293
259	453	1290
260	454	1287
261	456	1284
262	457	1281
263	458	1278
264	460	1276
265	461	1272
266	462	1269
267	463	1266
268	464	1263
269	466	1260
270	467	1257
271	468	1254
272	470	1251
273	471	1248
274	472	1245
275	473	1242
276	475	1240
277	476	1236
278	477	1234
279	478	1231
280	480	1228
281	481	1225
282	482	1223
283	484	1220
284	485	1218
285	486	1215
286	487	1211
287	489	1209
288	490	1206
289	491	1204
290	493	1201
291	494	1199
292	495	1196
293	497	1194
294	498	1192
295	500	1189
296	501	1186
297	502	1183
298	503	1180
299	505	1178
300	506	1175
301	507	1173
302	508	1170
303	510	1167
304	511	1166
305	513	1163
306	514	1161
307	515	1158
308	516	1155
309	518	1153
310	519	1150
311	520	1147
312	521	1145
313	523	1142
314	524	1140
315	525	1137
316	526	1135
317	528	1132
318	529	1130
319	530	1127
320	531	1125
321	533	1122
322	534	1120
323	535	1117
324	536	1115
325	538	1112
326	539	1111
327	541	1108
